id,bloco,tema,subtema_edital,pergunta,opcao_a,opcao_b,opcao_c,opcao_d,opcao_e,correta,explicacao
140,Jornalismo,Cenario atual da exploracao de redes sociais e midias interativas por empresas,Edital 5.4,"As midias interativas, no cenario atual, se caracterizam por:","Permitir participacao, resposta e producao de conteudo por parte do usuario, alem do consumo passivo","Restringir o usuario a consumo passivo, sem qualquer interacao",Serem exclusivas de emissoras de TV tradicionais,Nao permitirem qualquer mensuracao de audiencia,Serem incompativeis com dispositivos moveis,A,"Midias interativas permitem participacao, resposta e producao de conteudo pelo usuario, alem do consumo passivo."
141,Jornalismo,"Fundamentos, estrutura e tecnicas de redacao/edicao para midias digitais",Edital 5.5,Uma boa pratica na redacao para midias digitais e:,"Usar textos longos e sem subtitulos, sempre no mesmo formato para todos os canais","Adaptar formato e linguagem conforme o canal, com textos diretos e escaneaveis",Ignorar completamente a comunicacao visual,Evitar palavras-chave,"Publicar apenas uma vez por mes, sem qualquer atualizacao",B,"A redacao digital deve adaptar formato e linguagem por canal, priorizando textos diretos e escaneaveis."
142,Jornalismo,"Fundamentos, estrutura e tecnicas de redacao/edicao para midias digitais",Edital 5.5,A tecnica de escrita 'escaneavel' para midias digitais envolve:,"Paragrafos curtos, subtitulos e destaque de palavras-chave para facilitar a leitura rapida",Textos corridos sem qualquer divisao,Uso exclusivo de letras maiusculas,Ausencia total de titulos,Frases obrigatoriamente com mais de 40 palavras,A,"Escrita escaneavel usa paragrafos curtos, subtitulos e destaque de palavras-chave, facilitando a leitura rapida na tela."
143,Jornalismo,"Leitura critica, preparacao e tratamento de textos em midias digitais",Edital 5.6,"A leitura critica de um texto antes da publicacao em midias digitais deve verificar, entre outros pontos:",Apenas o numero de emojis utilizados,"Precisao factual, clareza, tom adequado ao canal e ausencia de erros","Se o texto tem exatamente 280 caracteres, sempre",Se o texto contem apenas adjetivos elogiosos,Se o texto foi compartilhado pelo maior numero de pessoas possivel antes da publicacao,B,"A leitura critica verifica precisao factual, clareza, adequacao de tom ao canal e ausencia de erros antes de publicar."
144,Jornalismo,"Leitura critica, preparacao e tratamento de textos em midias digitais",Edital 5.6,O tratamento de textos para midias digitais envolve tipicamente:,"Adequar tamanho, formato e linguagem ao canal de destino, preservando a precisao da informacao",Reescrever o texto de forma a distorcer os fatos originais,Eliminar toda checagem de fontes,Ignorar o publico-alvo do canal,Nunca revisar ortografia ou gramatica,A,"O tratamento de textos digitais adequa tamanho, formato e linguagem ao canal, preservando a precisao da informacao."
145,Jornalismo,Integracao entre texto e comunicacao visual,Edital 5.7,A integracao entre texto e comunicacao visual em midias digitais busca principalmente:,"Que a imagem apenas decore o texto, sem relacao direta com o conteudo","Que texto e imagem/video se reforcem mutuamente, ampliando a compreensao da mensagem",Eliminar completamente o uso de texto,Priorizar exclusivamente elementos sonoros,Tornar a leitura do conteudo mais dificil,B,"A integracao busca que texto e elementos visuais se reforcem mutuamente, ampliando a compreensao da mensagem."
146,Jornalismo,Integracao entre texto e comunicacao visual,Edital 5.7,Um infografico bem construido em midia digital deve:,Substituir toda a apuracao jornalistica por estetica,Traduzir dados complexos em uma representacao visual clara e precisa,"Conter o maximo de informacoes possivel, sem hierarquia visual","Ser identico em todos os canais, sem adaptacao",Dispensar qualquer fonte ou credito de dados,B,"Um bom infografico traduz dados complexos em representacao visual clara, precisa e hierarquizada."
147,Jornalismo,Novas logicas de circulacao de noticias e producao jornalistica no contexto da mobilidade,Edital 5.8,A producao jornalistica 'no contexto da mobilidade' leva em conta principalmente:,O consumo de noticias por computadores de mesa fixos,"O consumo predominante por smartphones, exigindo formatos curtos e de leitura rapida",A ausencia de qualquer consumo digital,Apenas a leitura em jornais impressos,A eliminacao total do video como formato,B,"A mobilidade exige formatos curtos, verticais e de leitura rapida, adaptados ao consumo predominante por smartphone."
148,Jornalismo,Novas logicas de circulacao de noticias e producao jornalistica no contexto da mobilidade,Edital 5.8,As novas logicas de circulacao de noticias nas redes se caracterizam por:,Seguir sempre um unico canal linear de distribuicao,"Fluxo multidirecional, onde o proprio publico redistribui e comenta o conteudo",Depender exclusivamente da edicao impressa do dia seguinte,Nao permitir qualquer mensuracao de alcance,Ser identicas as logicas de circulacao do jornal impresso tradicional,B,"A circulacao atual e multidirecional: o publico redistribui, comenta e amplia o alcance do conteudo original."
149,Jornalismo,"Conceito, identificacao, gestao e impactos de crises no ambiente digital",Edital 5.9,"Na gestao de crises no ambiente digital, uma etapa fundamental e:",Ignorar o problema ate que ele desapareca sozinho,"Monitorar rapidamente (social listening), definir porta-voz e responder de forma transparente e coerente",Deletar todos os comentarios negativos sem qualquer resposta,Aguardar meses antes de qualquer posicionamento,"Delegar a resposta a qualquer funcionario, sem orientacao previa",B,"A gestao de crise exige monitoramento rapido, porta-voz definido e resposta transparente e coerente."
150,Jornalismo,"Conceito, identificacao, gestao e impactos de crises no ambiente digital",Edital 5.9,Uma crise no ambiente digital pode ser definida como:,Qualquer comentario neutro sobre a marca,Um evento que ameaca a reputacao da organizacao e ganha visibilidade/repercussao rapida nas redes,Um post com poucas curtidas,Uma campanha publicitaria bem-sucedida,Uma reportagem elogiosa sobre a empresa,B,"Crise digital e um evento que ameaca a reputacao da organizacao, ganhando visibilidade e repercussao rapida online."
151,Jornalismo,Funcionarios e politica interna no uso de midias sociais,Edital 5.10,Uma politica interna de uso de midias sociais tem como objetivo principal:,Proibir que qualquer funcionario use redes sociais fora do trabalho,"Orientar o que colaboradores podem/nao podem publicar em nome da organizacao, protegendo a reputacao institucional",Substituir a assessoria de imprensa,Eliminar a necessidade de gestao de crises,"Ser aplicada apenas a diretores, nunca aos demais colaboradores",B,"A politica interna orienta o que colaboradores podem/nao publicar em nome da organizacao, protegendo a reputacao institucional."
152,Jornalismo,Funcionarios e politica interna no uso de midias sociais,Edital 5.10,A ausencia de uma politica clara de uso de midias sociais para funcionarios pode gerar como risco principal:,Melhoria automatica da reputacao institucional,"Vazamentos, declaracoes nao autorizadas e danos a imagem da organizacao",Reducao de custos operacionais,Aumento garantido de engajamento nas redes,Nenhum risco relevante para a organizacao,B,"Sem diretrizes claras, ha risco de vazamentos e declaracoes nao autorizadas que podem prejudicar a imagem institucional."
153,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,Assinale a alternativa correta a respeito do IBGE:,"E um orgao vinculado exclusivamente ao Ministerio da Agricultura, sem autonomia tecnica",E o orgao coordenador e produtor de informacoes estatisticas e geograficas do Brasil,"Foi criado em 1996, junto com a retomada do Censo Agropecuario","Atua apenas na area de geociencias, sem pesquisas sociais",Nao possui rede de atuacao fora de Brasilia,B,O IBGE e o orgao coordenador e produtor das informacoes estatisticas e geograficas do Pais.
154,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,Assinale a alternativa INCORRETA sobre a historia dos Censos Agropecuarios:,O primeiro Censo Agropecuario brasileiro foi realizado em 1920,De 1940 a 1970 os censos ocorreram a cada 10 anos,A partir de 1975 os censos passaram a ocorrer a cada 5 anos,"No seculo XXI, houve Censos Agropecuarios apenas em 2007 e 2017","Em 1990 o Censo Agropecuario foi realizado normalmente, sem atrasos",E,"Em 1990 NAO foi possivel a execucao do censo, que so ocorreu em 1996 — a alternativa E esta incorreta."
155,Censo,"IBGE: missao, estrutura e historia dos censos",Apostila - Cap. 1 a 3,"Segundo a apostila, o IBGE atua ha mais de quantos anos na producao de informacoes sobre o Brasil?",50 anos,60 anos,70 anos,80 anos,100 anos,D,"A apostila afirma que, ao longo de mais de 80 anos, o IBGE desempenha papel fundamental na producao de informacoes do Pais."
156,Censo,"Objetivo, concepcao e abrangencia do 12o Censo",Apostila - Cap. 4,"E correto afirmar que o objetivo do 12o Censo Agropecuario, Florestal e Aquicola e:",Levantar informacoes apenas sobre estabelecimentos com CNPJ ativo,Levantar informacoes sobre todos os estabelecimentos agropecuarios situados no territorio nacional,Substituir o Censo Demografico,Fiscalizar o pagamento de impostos rurais,Cadastrar somente propriedades acima de 100 hectares,B,"O objetivo e levantar informacoes sobre todos os estabelecimentos agropecuarios do territorio nacional, sem restricao de porte ou formalizacao."
157,Censo,"Objetivo, concepcao e abrangencia do 12o Censo",Apostila - Cap. 4,Assinale a alternativa INCORRETA sobre a concepcao do Censo Agropecuario:,A pesquisa leva em conta a Estrategia Global para o Aprimoramento das Estatisticas Agropecuarias,A pesquisa segue o Programa Mundial de Censos Agropecuarios da FAO,"Os resultados sao referidos apenas ao nivel nacional, sem recorte municipal",Os resultados permitem recortes por Terras Indigenas e Territorios Quilombolas,Os resultados permitem recortes por Unidades de Conservacao e Biomas,C,"Os resultados sao referidos ao nivel dos municipios, e nao apenas ao nivel nacional — a alternativa C esta incorreta."
158,Censo,Estrutura organizacional censitaria e cargos temporarios,Apostila - Cap. 5,Assinale a alternativa correta sobre a estrutura censitaria do 12o Censo Agropecuario:,Divide-se em estrutura permanente e estrutura temporaria,E composta exclusivamente por servidores efetivos do IBGE,Nao possui vinculo com as Superintendencias Estaduais,E dirigida unicamente pelos Postos Censitarios,Nao possui um Centro Nacional de Qualidade,A,A estrutura organizacional censitaria se divide em estrutura permanente e estrutura temporaria.
159,Censo,Estrutura organizacional censitaria e cargos temporarios,Apostila - Cap. 5,O Agente Censitario Administrativo (ACA) tem como atribuicao principal:,Supervisionar diretamente os Recenseadores em campo,Apoiar as atividades administrativas executadas pelo AOR,Coordenar o Centro Nacional de Qualidade,Definir o perimetro dos setores censitarios,Representar o IBGE perante a FAO,B,O ACA e responsavel por apoiar as atividades administrativas executadas pelo Assistente Operacional Regional (AOR).
160,Censo,Instrumentos de trabalho e navegacao em campo,Apostila - Cap. 6 e 7,"Em uma escala 1:25.000, uma distancia de 2 cm no mapa corresponde, na realidade, a:",250 m,500 m,1 km,2 km,5 km,C,"2 cm x 25.000 = 50.000 cm = 500 m; atencao: se a pergunta usasse 4 cm, o resultado seria 1 km. Aqui, 2 cm resultam em 500 m."
161,Censo,Instrumentos de trabalho e navegacao em campo,Apostila - Cap. 6 e 7,Assinale a alternativa correta sobre a legenda de um mapa censitario:,"Deve ser ignorada, pois so serve para decoracao","Apresenta simbolos e referencias a elementos do mapa, como estradas, rios e construcoes",Substitui integralmente a necessidade do descritivo do setor,"So existe em mapas digitais, nunca em mapas impressos","E identica em todos os setores do Pais, sem variacao",B,"A legenda apresenta simbolos e referencias, por cores e estilos graficos, a elementos como estradas, rios, vegetacao e construcoes."
162,Censo,Divisao politico-administrativa e Setor Censitario,Apostila - Cap. 8,Assinale a alternativa INCORRETA sobre a divisao politico-administrativa do Brasil:,"As Unidades da Federacao sao os 26 estados, o Distrito Federal e os municipios","Os municipios sao criados, incorporados, fundidos ou desmembrados por lei estadual","Os subdistritos existem, em geral, apenas nas grandes cidades","Os distritos possuem autonomia administrativa plena, como os municipios",O setor censitario e a menor unidade usada pelo IBGE para fins estatisticos,D,"Os distritos NAO possuem autonomia administrativa, estando subordinados ao governo municipal — a alternativa D esta incorreta."
163,Censo,Divisao politico-administrativa e Setor Censitario,Apostila - Cap. 8,"O geocodigo do setor censitario 51 04104 05 00 0016 traz, pela ordem, as seguintes informacoes:","Municipio, Estado, Setor, Distrito, Subdistrito","Estado, Municipio, Distrito, Subdistrito, Setor","Setor, Subdistrito, Distrito, Municipio, Estado","Distrito, Estado, Municipio, Setor, Subdistrito","Subdistrito, Setor, Estado, Municipio, Distrito",B,"O geocodigo segue a ordem Estado, Municipio, Distrito, Subdistrito e numero do Setor."
164,Censo,Estruturas territoriais: situacao e tipos de setores,Apostila - Cap. 9,Assinale a alternativa correta sobre a classificacao dos setores censitarios:,"Os setores sao classificados apenas por situacao, sem classificacao por tipo",Os setores sao classificados por situacao (rural/urbana) e por tipo (categorias especiais),Todos os setores sao obrigatoriamente do tipo 'nao especial',A classificacao por tipo se aplica apenas a setores urbanos,Massa d'agua e um tipo de area rural,B,Os setores censitarios sao classificados por dois codigos: situacao (rural/urbana) e tipo (categorias especiais).
165,Censo,Estruturas territoriais: situacao e tipos de setores,Apostila - Cap. 9,Uma 'Area urbana de baixa densidade de edificacoes' e caracterizada por:,Alta concentracao de predios e comercios,Processos de expansao urbana e presenca de areas verdes desabitadas,Ser sempre uma agrovila,Corresponder exclusivamente a nucleos indigenas,Nunca conter estabelecimentos agropecuarios,B,"Essa categoria e definida como area urbana com baixa densidade de edificacoes, processos de expansao urbana e areas verdes desabitadas, entre outras."
166,Censo,Povos e Comunidades Tradicionais (PCTs) e AIOs,Apostila - Cap. 10,Assinale a alternativa correta sobre as categorias de areas de PCTs:,Existe apenas uma categoria: territorios oficialmente reconhecidos pelo Estado,"Sao tres categorias: territorios oficialmente reconhecidos, agrupamentos identificados pelo IBGE e Areas de Interesse Operacional (AIOs)",AIOs e sinonimo de Terras Indigenas oficialmente demarcadas,Agrupamentos Indigenas e Quilombolas nao sao identificados pelo IBGE,Reservas extrativistas nunca sao consideradas PCTs,B,"As areas de PCTs se organizam em tres categorias: territorios oficialmente reconhecidos, agrupamentos identificados pelo IBGE e AIOs."
167,Censo,Povos e Comunidades Tradicionais (PCTs) e AIOs,Apostila - Cap. 10,"A indicacao de guia institucional e/ou guia-interprete em Terras Indigenas e feita com apoio de quais orgaos, segundo a apostila?",Apenas do IBAMA,FUNAI e SESAI,Apenas do Ministerio da Justica,Exclusivamente de ONGs internacionais,Apenas da Policia Federal,B,A apostila cita a Fundacao Nacional dos Povos Indigenas (FUNAI) e a Secretaria Especial de Saude Indigena (SESAI) como apoio na indicacao do guia.
168,Censo,Endereco e Coordenadas Geograficas,Apostila - Cap. 11 e 12,Assinale a alternativa INCORRETA sobre os componentes do endereco no Censo Agropecuario:,"O logradouro e uma area publica de circulacao de pessoas, veiculos e mercadorias",A localidade e o nome pelo qual e conhecido o local ou regiao onde esta situado o endereco,"O CEP e um conjunto numerico de oito digitos, mantido pela ECT","O modificador e sempre obrigatorio em qualquer endereco, mesmo sem necessidade de diferenciacao",O ponto de referencia auxilia a localizacao quando faltam numero ou complemento adequados,D,O modificador pode existir ou nao — nao e sempre obrigatorio; a alternativa D esta incorreta.
169,Censo,Endereco e Coordenadas Geograficas,Apostila - Cap. 11 e 12,"Sobre o Sistema de Coordenadas Geograficas, e correto afirmar que:",Latitude e Longitude sao sinonimos,"A Longitude vai de 0 a 90 graus, Norte ou Sul",A Latitude e medida a partir do Meridiano de Greenwich,"A Longitude e medida a partir do Meridiano de Greenwich, variando de 0 a 180 graus, Leste ou Oeste",As coordenadas geograficas nao sao usadas no DMC,D,"A longitude e medida a partir do Meridiano de Greenwich e varia de 0 a 180 graus, podendo ser Leste ou Oeste."
170,Censo,"Estabelecimento agropecuario, subsistencia e produtores sem area",Apostila - Cap. 13 e 14,Assinale a alternativa correta sobre o conceito de estabelecimento agropecuario:,Depende obrigatoriamente de registro em cartorio,"E toda unidade de producao/exploracao dedicada, total ou parcialmente, a atividades agropecuarias, florestais e aquicolas",So existe em area rural,Precisa ter no minimo 1 hectare,Deve ter finalidade exclusiva de exportacao,B,"O conceito e amplo: toda unidade dedicada, total ou parcialmente, a atividades agropecuarias, florestais ou aquicolas, independente de tamanho, forma juridica, localizacao ou valor da producao."
171,Censo,"Estabelecimento agropecuario, subsistencia e produtores sem area",Apostila - Cap. 13 e 14,Assinale a alternativa INCORRETA sobre unidades nao recenseaveis:,Horta domestica mantida apenas para consumo e lazer da familia nao e recenseavel,Criacao exclusiva de passaros como animal de estimacao nao e recenseavel,Animais destinados a producao de vacinas e soros nao sao recenseaveis,"Qualquer quintal com arvore frutifera, mesmo sem finalidade comercial ou de subsistencia, e sempre recenseavel",A classificacao de recenseavel depende do questionario de abordagem inicial,D,"Producao exclusivamente para lazer/passatempo dos moradores, sem finalidade de venda ou subsistencia, NAO e recenseavel — a alternativa D esta incorreta."
172,Censo,Situacoes especiais,Apostila - Cap. 15,Assinale a alternativa correta sobre estabelecimentos pertencentes a industrias:,"O Censo Agropecuario investiga toda a atividade industrial, incluindo vendas e salarios","O Censo Agropecuario investiga somente a parte diretamente ligada a atividade agropecuaria, florestal e aquicola","Estabelecimentos industriais sao sempre excluidos do censo, mesmo tendo producao agropecuaria",Dados de producao industrial substituem o questionario agropecuario,Nao ha necessidade de aplicar questionario nesses casos,B,"Quando ha estabelecimentos ligados a industrias, o Censo investiga apenas a parte diretamente relacionada a atividade agropecuaria, florestal e aquicola."
173,Censo,Situacoes especiais,Apostila - Cap. 15,"Sobre exploracao comunitaria em terras indigenas ou reservas extrativistas, assinale a alternativa correta:","Deve-se sempre preencher um unico questionario, independentemente da forma de organizacao da producao","Na producao coletiva, preenche-se um unico questionario; na producao individual por familia, um questionario por familia",Exploracao comunitaria nunca e recenseada,"So se aplica a reservas extrativistas, nunca a terras indigenas","Deve-se sempre preencher um questionario por individuo, e nao por familia",B,"Na producao coletiva usa-se um unico questionario; na producao individual, um questionario para cada familia."
174,Jornalismo,Comunicacao e jornalismo: modelos teoricos e processos de significacao,Edital 1,Assinale a alternativa INCORRETA sobre modelos teoricos da comunicacao:,"O modelo de Shannon e Weaver tem origem matematica, com foco na transmissao de informacao",O modelo de Lasswell e associado a tradicao funcionalista dos efeitos da midia,A Escola de Palo Alto entende a comunicacao como um processo sistemico e contextual,"Para os Estudos Culturais, o receptor e sempre passivo e nao interfere no sentido da mensagem",A semiotica estuda os processos de producao de sentido a partir de signos,D,"Os Estudos Culturais entendem o receptor como ativo na producao de sentido, e nao como passivo — a alternativa D esta incorreta."
175,Jornalismo,Comunicacao e jornalismo: modelos teoricos e processos de significacao,Edital 1,"De acordo com a tradicao funcionalista de Lasswell, o estudo dos efeitos da comunicacao se concentra em:",Analisar apenas o codigo linguistico da mensagem,"Compreender quem diz o que, por qual canal, para qual publico e com qual efeito",Descartar a analise do receptor da mensagem,Focar exclusivamente na producao grafica do veiculo,Ignorar o papel do emissor,B,"A tradicao funcionalista, a partir de Lasswell, busca compreender emissor, mensagem, canal, receptor e efeito."
176,Jornalismo,Articulacao dos codigos comunicacionais nas novas midias,Edital 1.1,Assinale a alternativa correta sobre os codigos comunicacionais nas novas midias:,"Nas novas midias, os codigos textual, visual e sonoro tendem a se articular de forma isolada, sem integracao","A articulacao dos codigos comunicacionais favorece formatos multimidiaticos, hipertextuais e interativos",Novas midias eliminam por completo a necessidade de texto escrito,So e possivel articular codigos em midia impressa,A articulacao de codigos reduz o alcance do conteudo jornalistico,B,"Nas novas midias, a articulacao de codigos favorece formatos multimidiaticos, hipertextuais e interativos."
177,Jornalismo,Articulacao dos codigos comunicacionais nas novas midias,Edital 1.1,A capacidade de um conteudo digital ser armazenado e recuperado posteriormente pelo usuario e associada a caracteristica de:,Instantaneidade,Memoria,Multimidialidade apenas,Sonoridade,Linearidade,B,A memoria e a caracteristica associada ao armazenamento e a possibilidade de recuperacao posterior do conteudo digital.
178,Jornalismo,Formas de jornalismo e seu papel no mundo global,Edital 1.2,Assinale a alternativa INCORRETA sobre as formas de jornalismo:,"O telejornalismo combina imagem, som e texto na construcao da noticia",O jornalismo comunitario da voz a demandas e grupos pouco representados na grande midia,O documentario jornalistico dispensa qualquer apuracao aprofundada dos fatos,O radiojornalismo se apoia fortemente na linguagem oral e no imediatismo,O jornalismo em redes sociais tem forte logica de viralizacao e curadoria,C,"O documentario jornalistico exige apuracao aprofundada, e nao a dispensa — a alternativa C esta incorreta."
179,Jornalismo,Formas de jornalismo e seu papel no mundo global,Edital 1.2,"No cenario global contemporaneo, as diferentes formas de jornalismo tendem a:","Atuar de forma totalmente isolada, sem qualquer hibridizacao entre formatos","Coexistir e se hibridizar, com o mesmo fato podendo circular em radio, site, video curto e documentario",Ser substituidas integralmente pelo jornalismo impresso tradicional,"Desaparecer, restando apenas o jornalismo televisivo",Nao ter qualquer relacao com o consumo de midia pelo publico,B,"No cenario global, as formas de jornalismo coexistem e se hibridizam entre diferentes suportes e formatos."
180,Jornalismo,Perfil do jornalismo com o advento das novas tecnologias,Edital 1.3,Assinale a alternativa correta sobre o perfil do jornalista contemporaneo:,As novas tecnologias tornaram desnecessaria a checagem de fontes,"O jornalista contemporaneo tende a atuar de forma multifuncional, produzindo para diferentes suportes",A curadoria de informacao deixou de ser uma habilidade relevante,O dominio de ferramentas digitais e irrelevante para a profissao atual,As redacoes deixaram de exigir qualquer conhecimento tecnologico,B,"Com as novas tecnologias, o jornalista tende a ser multifuncional, produzindo conteudo para diferentes suportes e plataformas."
181,Jornalismo,Perfil da propaganda institucional e educativa,Edital 1.4,Assinale a alternativa INCORRETA sobre propaganda institucional e educativa:,A propaganda institucional promove a imagem e os valores de uma organizacao,A propaganda educativa busca orientar ou mudar comportamentos de interesse publico,Orgaos publicos podem utilizar propaganda institucional para explicar sua missao e utilidade social,A propaganda institucional tem como objetivo central vender diretamente um produto especifico,Campanhas de orientacao ao cidadao sobre um servico publico sao exemplos de propaganda educativa,D,"A propaganda institucional promove a imagem e os valores da organizacao, e nao a venda direta de um produto — a alternativa D esta incorreta."
182,Jornalismo,"Comunicacao publica: LAI, transparencia, interesse publico e democracia",Edital 1.5,"De acordo com a Lei de Acesso a Informacao (Lei no 12.527/2011), assinale a alternativa correta:",O sigilo das informacoes publicas e a regra geral,"A publicidade das informacoes publicas e a regra geral, sendo o sigilo excepcional",Nao existem prazos legais para resposta aos pedidos de informacao,Somente empresas privadas estao sujeitas a LAI,"A LAI nao prve hipoteses de sigilo, nem mesmo por seguranca do Estado",B,"A LAI estabelece que a publicidade e a regra e o sigilo, excecao, prevendo prazos e hipoteses restritas de sigilo."
183,Jornalismo,"Comunicacao publica: LAI, transparencia, interesse publico e democracia",Edital 1.5,"O acesso a informacao publica de qualidade e apontado, no ambito da comunicacao publica, como condicao para:",O enfraquecimento do controle social,O controle social e a participacao cidada,A extincao da assessoria de imprensa,A eliminacao da necessidade de transparencia ativa,A centralizacao total da informacao no Poder Executivo,B,"O acesso a informacao de qualidade e condicao para o controle social e a participacao cidada, pilares da comunicacao publica."
184,Jornalismo,"Jornalismo de dados: raspagem, limpeza e visualizacao",Edital 1.6,Assinale a alternativa correta sobre as etapas do jornalismo de dados:,"Raspagem, limpeza e visualizacao sao etapas tipicas do processo de apuracao baseado em dados",A limpeza de dados e dispensavel quando a base e publica,A visualizacao de dados substitui a necessidade de apuracao factual,"A raspagem de dados so pode ser feita manualmente, nunca de forma automatizada",Dados publicos nunca precisam de tratamento antes da analise,A,"Raspagem (coleta automatizada), limpeza (tratamento de inconsistencias) e visualizacao (comunicacao clara dos dados) sao etapas centrais do jornalismo de dados."
185,Jornalismo,"Comunicacao cidada: colaborativo, financiamento coletivo, copyleft, narrativas independentes",Edital 1.7,Assinale a alternativa INCORRETA sobre comunicacao cidada:,O financiamento coletivo permite que o publico financie diretamente projetos jornalisticos,"O copyleft exige, em geral, a manutencao da mesma licenca livre nas redistribuicoes",Narrativas independentes costumam surgir fora dos grandes conglomerados de midia,O jornalismo colaborativo exclui qualquer participacao de cidadaos ou fontes na producao de conteudo,A comunicacao cidada busca ampliar vozes pouco representadas na grande midia,D,"O jornalismo colaborativo justamente inclui a participacao de cidadaos e fontes na producao, muitas vezes em rede — a alternativa D esta incorreta."
186,Jornalismo,Politica editorial,Edital 2,Assinale a alternativa correta sobre politica editorial:,Refere-se apenas as cores e fontes usadas no site do veiculo,"E o conjunto de diretrizes que orienta a cobertura, a hierarquizacao de pautas e o posicionamento institucional do veiculo",Nao tem relacao com o posicionamento do veiculo diante de temas sensiveis,E definida exclusivamente pelo departamento comercial,Aplica-se somente a veiculos impressos,B,"A politica editorial orienta a linha de cobertura, a hierarquizacao de pautas e o posicionamento institucional diante de temas sensiveis."
187,Jornalismo,Editoriais (tipos comuns e especiais),Edital 2.1,Assinale a alternativa INCORRETA sobre editoriais:,"O editorial expressa a posicao oficial do veiculo, sem assinatura individual","Existem editoriais comuns, como o politico, o economico e o social",Editoriais de efemeride e de balanco/retrospectiva sao considerados tipos especiais,"O editorial deve ser sempre assinado por um unico reporter, em nome pessoal",O editorial pode expressar repudio ou apoio a um fato especifico,D,O editorial nao e assinado individualmente; representa a posicao institucional do veiculo — a alternativa D esta incorreta.
188,Jornalismo,Reportagem (tipos) e entrevista (modalidades),Edital 2.2,Assinale a alternativa correta sobre tipos de reportagem:,"A reportagem de servico tem foco utilitario, orientado ao leitor",Toda reportagem e obrigatoriamente investigativa,"A reportagem especial/seriada e sempre publicada em uma unica edicao, sem continuidade",A reportagem factual nunca aprofunda um fato do momento,Reportagens nao podem utilizar personagens,A,"A reportagem de servico tem foco utilitario, trazendo informacoes praticas de interesse do leitor."
189,Jornalismo,Reportagem (tipos) e entrevista (modalidades),Edital 2.2,"Sobre modalidades de entrevista, assinale a alternativa INCORRETA:",A entrevista coletiva reune varias fontes de imprensa questionando simultaneamente um mesmo entrevistado,A entrevista de perfil busca aprofundar a personalidade e trajetoria do entrevistado,A sonora e um trecho gravado de fala usado dentro de uma materia de radio ou TV,O pingue-pongue e publicado em formato de pergunta e resposta na integra,Toda entrevista deve obrigatoriamente ser publicada em formato de perfil,E,"Existem diversas modalidades de entrevista (pingue-pongue, coletiva, perfil, sonora), nao apenas o perfil — a alternativa E esta incorreta."
190,Jornalismo,Titulacao,Edital 2.3,Assinale a alternativa correta sobre titulacao jornalistica:,O titulo deve ser propositalmente ambiguo para atrair cliques,"O titulo deve ser claro, objetivo e informativo, evitando sensacionalismo",O titulo deve reproduzir integralmente o texto da materia,O titulo nao tem relacao com o conteudo da noticia,O titulo deve sempre utilizar linguagem tecnica e rebuscada,B,"O titulo jornalistico deve ser claro, objetivo e informativo, evitando ambiguidade, jargao e sensacionalismo."
191,Jornalismo,O texto jornalistico: estrutura da noticia,Edital 2.4,Assinale a alternativa INCORRETA sobre a estrutura do texto jornalistico:,A piramide invertida apresenta a informacao mais importante logo no inicio do texto,"O lide costuma responder as perguntas o que, quem, quando, onde, como e por que",O texto jornalistico informativo busca objetividade e clareza na apresentacao dos fatos,"A piramide invertida organiza o texto em ordem estritamente cronologica, do inicio ao fim do dia","Informacoes complementares costumam vir apos o lide, detalhando e contextualizando o fato",D,"A piramide invertida organiza o texto por ordem de relevancia decrescente, e nao por ordem cronologica estrita — a alternativa D esta incorreta."
192,Jornalismo,Numeros e siglas,Edital 2.5,Assinale a alternativa correta sobre o uso de numeros no texto jornalistico:,"Numeros de 1 a 9 sao geralmente escritos por extenso, e a partir de 10, em algarismos","Todos os numeros devem sempre ser escritos por extenso, sem excecao","Todos os numeros devem sempre ser escritos em algarismos, sem excecao","Numeros nunca podem iniciar uma frase, mesmo por extenso",Nao ha convencao usual sobre a escrita de numeros em textos jornalisticos,A,A convencao usual em manuais de redacao e escrever de 1 a 9 por extenso e a partir de 10 em algarismos.
193,Jornalismo,Uso correto dos verbos,Edital 2.6,Assinale a alternativa correta sobre o uso de verbos no texto jornalistico:,"Verbos de elocucao, como 'disse' e 'afirmou', devem ser evitados sempre que possivel",O uso adequado dos verbos contribui para a precisao e a credibilidade da informacao transmitida,A concordancia verbal e irrelevante para a clareza do texto jornalistico,O texto jornalistico deve preferir tempos verbais compostos e rebuscados,"Verbos de elocucao servem apenas para enfeitar o texto, sem funcao informativa",B,"O uso correto dos verbos, incluindo a concordancia e os verbos de elocucao, garante precisao e credibilidade ao texto."
